model,has_businessId,indexed_on_businessId,field_count,relation_count,reader_modules,writer_modules,accessed_by_module_count,unreferenced
Service,TRUE,TRUE,20,1,ai bookings catalog commerce conversion crm diagnostics email-marketing expenses flow identity key-cortex seo site trash,apps/server calendar catalog,17,FALSE
Availability,FALSE,,6,1,bookings key-cortex,bookings key-cortex,2,FALSE
Skill,FALSE,,7,0,ai,ai,1,FALSE
Booking,TRUE,TRUE,29,8,actions ai analytics autopilot blueprint bookings calendar command commerce communications core/connectors crm diagnostics email-marketing flow gamification growth-intelligence identity intelligence key-cortex keyflow-command momentum os packages/api portal reports site subscriptions temporal trash,apps/server bookings calendar crm packages/api trash,31,FALSE
BookingWaitlistEntry,TRUE,TRUE,21,5,apps/server bookings,bookings,2,FALSE
SocialConnection,TRUE,TRUE,14,1,apps/server communications content core/connectors diagnostics key-cortex packages/api social,apps/server content core/connectors social,8,FALSE
SocialPost,TRUE,TRUE,17,1,ai calendar email-marketing flow gamification key-cortex social subscriptions trash,apps/server calendar content marketplace social trash,12,FALSE
ChannelConnection,TRUE,TRUE,17,1,communications flow,communications,2,FALSE
ChannelDestination,TRUE,TRUE,14,1,communications,communications,1,FALSE
OutboundContent,TRUE,TRUE,18,2,communications content,communications content flow,3,FALSE
OutboundVariant,FALSE,,11,1,communications,communications flow,2,FALSE
OutboundDelivery,TRUE,TRUE,25,3,communications crm,communications flow,3,FALSE
DeliveryEvent,FALSE,,11,1,communications,communications,1,FALSE
WhatsAppContact,TRUE,TRUE,12,2,ai crm whatsapp,crm whatsapp,3,FALSE
WhatsAppMessage,TRUE,TRUE,20,2,ai crm whatsapp,ai whatsapp,3,FALSE
SocialEngagement,TRUE,TRUE,14,1,ai,content key-cortex social,4,FALSE
Automation,TRUE,TRUE,13,1,ai automation diagnostics flow gamification key-cortex subscriptions,automation flow key-cortex,7,FALSE
CrossModuleWorkflow,TRUE,TRUE,10,1,flow,flow,1,FALSE
ScheduledAgentJob,TRUE,TRUE,12,1,conversion flow marketplace,conversion flow marketplace,3,FALSE
Activity,TRUE,TRUE,24,1,ai automation blueprint,activity site,5,FALSE
Project,TRUE,TRUE,27,2,ai blueprint calendar change-orders commerce expenses flow intelligence key-cortex keyflow-command marketplace os projects reports temporal time-tracking trash,calendar flow marketplace projects trash,17,FALSE
